id,Categories,Response,Further Responses,Notes,
B078YDYSYZ,carousel guide,"Welcome to the Carousel Guide of tips, facts and more! Today, I can share with you some interesting topics, includingBeauty, language, food, a story, numbers, play, life fact, geography, history, or a thought . I can only brief you about on one topic at the time. Which topic are you interested in?","[language] Language . Today, I have a word for you: Vitality. It means to have energy to perform the ongoing activities. Maintaining healthy diets, regular physical activity, and learning something new in regular basis, support personal vitality. Do you want to hear about other topic I have prepared for today? [yes] Great! Which topic? You can find out about beauty, language, food, story, numbers, play, life fact, geography, history, or a thought [food] Food . Today, I have this comforting snack sandwich recipe: Place a slice or two of your favorite melting cheese between two slices of slightly toasted bread. You may also add a couple of tomato slices with a small splash of balsamic vinegar or your favorite dressing for taste. To make it more comforting, you may warm up the sandwich for 1 minute on a flat medium heating surface or an oven. Do you want to hear about other topic I have prepared for today?",,2.1 out of 5
B07D23VSGQ,Science History of The Day,,,Flash briefing skill - cannot be opened in Developer Console,2.1 out of 5
B07V51RQMH,Family Trivia yeah,Welcome to your Family Trivia Game! You'll be quizzed on facts you likely didn't know about your family.One to four players can play. How many are playing?,"[one] Is this Crazy Cat? [yes] Let's start. Answer quickly until you get 3 wrong! To undo an answer, say 'undo'. Who died a few years ago on Vernon side of the family Is the answer: 1. Toyata2. Jeep or 3. Nina [one] <Short audio> You said 1. Toyata. Very close. The correct answer was Jeep. Only 2 wrong 2 answers left and you're out. Next Question: Who is the person on their electronics the most Is the answer: 1. Vernon2. Carlene3. Anthony or 4. Kendall [three] <Short audio> You said 3. Anthony. Sorry, that's incorrect. The correct answer was Vernon. Come on Sun is good for u Only 1 wrong 1 answer left and you're out. Next Question: What are cuffy 's children's names Is the answer: 1. Maduesa,Peter2. Maddie,ken3. Maddie,Cameron or 4. Maddie,Christian [four] <Short audio> Right on! You now have 1 point. Next Question: What is the worst fast-food Carlene has Dee had Is the answer: 1. McDonald's2. Sonic3. Dennys or 4. Golden corral [two] <Short audio> That's correct! You now have 2 points. Next Question: Where did Dee Dee and my mother meet Is the answer: 1. At a house party2. At the club3. At college or 4. On some random McDonald's because everything else was to expensive [four] <Short audio> You said 4. On some random McDonald's because everything else was to expensive. Sorry, that's incorrect. The correct answer was At College. <Short audio> You finished with a score of 2 points. Keep on trying. <Short audio> Want to play again?",Repeat,2.1 out of 5
B07Y7CNP7S,Sudoku,Welcome to the Sudoku game Say play to play the game or Say help for help.,"[play] Sorry, I'm having trouble accessing your Sudoku skill right now",Not functional,2.1 out of 5
B07F1M7PYN,Nursery Rhyme,Would you like to listen to a nursery rhyme?,[yes] Now I am playing Head and Shoulders <Audio only response>,Possibly a repeat,2.1 out of 5
,,,,,
,,,,,
,,,,,
,,,,,privacy policy
B07KQZLN4W,Crazy Animals Game,audio,,,http://aiolanguages.com/privacy-policy
B07K43V3MH,Dinosaur Dash,"start crazy animals

<Short audio>

<Short audio>

quit

play crazy animals

<Short audio>

<Short audio>

open dinosaur dash

Do you want to continue?

quit

open dinosaur dash

Ok, Here's Dinosaur Dash

A very fine welcome to Dinosaur Dash, the greatest Alexa skill for learning about Dinosaurs in the universe. You can ask me to provide information about Dinosaurs from the Dinosaur Database. However, if you are feeling lucky, ask for a quick game of Dinosaur Finder by saying Start a Game. What would you like to do?

start a game

well well well. Look who wants to step up to the plate. Are you sure you ready

yes

Good luck. Question 1: Please select the image that represents ankylosaurus?

1

I am sorry. I did not quite get that one. Could you try again?

yes

You are currently in the middle of a game. Would you like to carry on playing?

yes

You are currently in the middle of a game. Would you like to carry on playing?

yes

You are currently in the middle of a game. Would you like to carry on playing?

no",,,http://annmalavet.com/#/PrivacyPolicy
B07JJDSXWY,Paul Rabbit and the Painting Contest,"open paul rabbit

Welcome to Paul Rabbit and the Painting Contest!Do you want to start listening now?Then please say, yes!

yes

<Short audio>

If you would like to visit the rabbits, please say: yes

yes

<Short audio>

Do you want to visit Susie? Then please say, yes!

yes

<Short audio>

Do you want to help Susie with the laundry? Then please say Yes!

yes

<Short audio>

Do you want to go to Max Rabbit? Then please say yes!

yes

<Short audio>

If you want to help Max with the laundry, please say: Yes!",,,http://artcue.com/privacy
B07KQ7LS2J,Preschool Meditation | Meditation for Kids,"start preschool meditation

Ok, Here's Preschool Meditation | Meditation for Kids

Playing

yes

Hmm, I'm not sure.

no

Hmm, I don't know that one.

help

For Help, please visit the help pages on the Amazon web site.

play preschool meditation

Playing",,,http://audioskills.vocaidapps.com/privacy-policy.html
B07MX9YKL7,awesome-sequence-game,"open awesome sequence game

Ok, Here's awesome-sequence-game

Welcome to the sequence game. Say begin game to start.

begin

undefined is not correct, the correct answer is 0

help

For Help, please visit the help pages on the Amazon web site.

yes

Hmm, I don't know that.

no

For Help, please visit the help pages on the Amazon web site.",,,http://balboadevelopers.com/privacy-policy/
B07R3DF63G,Bamboo Books,"start bamboo books

Ok, Here's Bamboo Books

quit",,,http://bamboolearning.com/privacypolicy
B07T3R6XFN,Ask My Kid - Student Learning - AskMyClass at Home,"open my kid

Ok, Here's Ask My Kid - Remote Learning Activities

Woo hoo. Welcome to ask my kid. When you know the channel or activity, just say it directly. For example, ask my kid a daily stem question. Or ask my kid to get moving. If your teacher has set up a class channel. Just say the channel name. To see all activities, go to, ask, my, kid, dot, com. Otherwise, say menu, and I’ll suggest a few to try. Now, Say the channel, an activity, or say, menu.

meunu

undefined

menu

I'm not quite sure how to help you with that.

quit",,,http://bit.ly/askmyclassprivacy
B07SC1XBK2,Third Grade Kids Daily Math Practice by AskMyClass,"open third grade

Ok, Here's Third Grade Kids Daily Math Practice by AskMyClass

<Short audio>

It's time for math-drill Listen to the question, and the choices carefully. You'll get a little time to think, and then say the number of the choice. Some questions are tricky, so you might want to write it down or say, more time, before answering Now , Say continue to get started.

continue

<Short audio>

, 8000 grams is how many kilograms. You've got 4 choices. 1 7 Or 2 8 Or 3 9 Or 4 10

8

I can't seem to find that one, please say, 1, 2, 3, or 4

2

I can't seem to find that one, please say, 1, 2, 3, or 4

1

I can't seem to find that one, please say, 1, 2, 3, or 4

help

This is math-drill help. Hope this helps. I'll ask you questions, and just pick an option for the answer you select. Questions are based on the common core for third grade. What choice do you make?

1

I can't seem to find that one, please say, 1, 2, 3, or 4

1,

I can't seem to find that one, please say, 1, 2, 3, or 4

quit",,,http://bit.ly/askmyclassprivacy
B0816H3FYP,Planet Story,not found,,,http://bit.ly/planetstory-pp2019
B078MSVL2L,Kids Booklet,not found,,,http://carevigil.com/privacy.html
B0786W6X94,Brewing Coach,"open brewing coach

Ok, Here's Brewing Coach

Welcome to Brewing Coach. You can ask a question like, How do I brew a potion of fire resistance

how do i brew a potion of fire resistance

You can brew three potions of fire resistance by first making an awkward potion in a brewing stand by putting in three water bottles and then adding nether wart. Next add a magma cream. You can extend the potions life from three to eight minutes by adding redstone.

help

For Help, please visit the help pages on the Amazon web site.

yes

Hmm, I don't know that.

continue

Sorry, there is nothing for me to resume.

quit",,,http://carlrydings.com/privacy/
B07DSCWJ1V,ChuChu TV,"open chuchu tv

Ok, Here's ChuChu TV

<Short audio>

quit",,,http://chuchutv.com/privacy/
B07FSC5CY7,Book Worm,"launch book worm

Ok, Here's Bookworm

Hello, and welcome to Bookworm. Let me know when you're ready to begin, if you need help, or if you want to see your trophies

quit",,,http://conversationcurve.com/privacy.html
B07KH7TTPN,Britannica Students,"open britannica students

Ok, Here's Britannica Students

Welcome to Britannica Students. You can search for any word or phrase you're interested in, or ask for a topic.

math

Topic for Saint Elmo's fire. Saint Elmo’s fire is a light appearing on ship masts, airplane wings, steeples, and other projecting objects; the light, frequently seen before and after storms, results from an electrical discharge; named for St. Erasmus, who was venerated under name Elmo as patron of the sailors, who regard St. Elmo’s fire as visible sign of his guardianship over them. You can ask for another topic or search for something.

language

Topic for FORTRAN. a procedure-oriented computer programming language used for scientific and algebraic applications. The name comes from the words formula translation. It was developed in 1954 by IBM to simplify scientific programming. It is used in such fields as weather forecasting and engineering—for example, to analyze the stress to which a bridge may be subjected. You can ask for another topic or search for something.

test

Topic for Sven Anders Hedin. (1865–1952). The Swedish explorer Sven Anders Hedin spent a great part of his life leading expeditions through Central Asia, where he made valuable geographical and archaeological discoveries. For these efforts he received the highest awards of the geographical societies of Europe, was made a Swedish nobleman, and was named honorary knight commander of the Indian Empire. Hedin was born in Stockholm on Feb. 19, 1865. He attended Uppsala University in Sweden and the universities of… You can ask for another topic or search for something.

quit",,,http://corporate.britannica.com/privacy.html
B07KM8GM5B,Britannica Kids,"open britannica kids

Ok, Here's Britannica Kids

Welcome to Britannica Kids. You can search for any word or phrase you're interested in, or ask for a topic.

test

Topic for combustion. Combustion is a chemical reaction that produces heat and light. The most common form of combustion is fire. Most forms of combustion happen when the gas oxygen joins with another substance. For example, when wood burns, oxygen in the air joins with carbon in wood. Many common substances can undergo combustion—for example, paper, cloth, and natural gas. Combustion begins when the substance reaches a temperature called its ignition point. At this temperature oxygen combines with… You can ask for another topic or search for something.

math

Topic for Veracruz. Veracruz is a state in east-central Mexico. Its full name is Veracruz-Llave. The state capital is called Xalapa (or Jalapa), but its full name is Xalapa Enríquez. You can ask for another topic or search for something.

english

Topic for Hopi. The Hopi are one of the Native American groups known as Pueblo Indians. Many Hopi live on a reservation in northeastern Arizona that is part of their traditional homeland. Like the other Pueblo Indians, the Hopi are descendants of the Anasazi people. The Hopi traditionally lived in homes made of stone and adobe, or sun-baked clay. Their houses had flat roofs and were sometimes several stories high. They were often joined together in groups similar… You can ask for another topic or search for something.

quit",,,http://corporate.britannica.com/privacy.html
B07ZYPMJHC,Maths Tables calculator,"open tables calculator

Ok, Here's Maths Tables calculator

Hello, welcome to maths table calculator for kids to get Help then say help me with this skill or else to get started then just simply say that table of two or any other number you want

table of four

Here is the table of 44 into zero is 04 into one is 44 into two is 84 into three is 124 into four is 164 into five is 204 into six is 244 into seven is 284 into eight is 324 into nine is 364 into ten is 40would you like to listen table of another number?

table of 2

Here is the table of 22 into zero is 02 into one is 22 into two is 42 into three is 62 into four is 82 into five is 102 into six is 122 into seven is 142 into eight is 162 into nine is 182 into ten is 20would you like to listen table of another number?

quit",,,http://developerpp.000webhostapp.com/
B07GS1J2VD,Captain Earth,"open captain earth

Ok, Here's Captain Earth

Ohh I see a new commander here! Let´s start the journey. I will redirect the command to my narrative sister the voice of the earth.

<Short audio>

Hey there commander! Thank you for your time! Let me introduce myself: I am the spirit of the earth. I will guide you through this interactive journey. I am so glad you came to help me rescue our planet out of the claws of the Mukoman. But first of all are you ready to help me? Say ""I am ready""

i am ready

Good! Let me tell you a bit about this journey. The earth as we know it was once a very peaceful, quite and lovely place. But as the human tried to dump their waste in a bad way and not using sustainable powers for their life there was a very bad effect on the earth. But the earth couldn´t do anything against it. So I, the voice of the earth, made a plan to rescue this planet and every human being. I created a human like superhero, captain earth. But I need you to control him. You can control him by giving him commands as the story proceeds. If you want me to show you the captain say ""Show me the captain""

show me the captain

I´m so glad you want to help me save the planet. I will place the captain in different environments where we have to defeat the Mukoman, a bad creature who wants to place garbage all over the earth. We have to stop him! So the first mission is guiding us to the Carribean Islands. I see there is a lot of plastic swimming around the ocean. This is a byproduct of throwing away garbage. Let me tell you a bit about recycling: Recycling is how we take trash and transform it into new products. There are several types of recycling processes that allow some materials to be used one or more times. Recycling is good for us and the environment because it reduces the use of new raw materials to product new products. It also reduces the energy we use, improves the quality of air and water, and fights climate change. Please commander, tell the captain to clean it up by saying ""Clean the water"".

clean the water

Wow! That definitely helped! The dolphins are already swimming again in the ocean and starting a concert to thank you. Good job! The Mukoman has noticed this action and is now hiding somewhere in europe. Let´s fly over and find him! Say ""Fly to europe""

fly to europe

I guess we found him! Look, there is a large machine which is producing plastic and making a lot of polluted air. The Mukoman is laughing because he thinks we can´t stop this now. But hey, do you know the power of reusing? I will tell you a bit about is: Reusing means combining reusing materials and using items that can be reused. For example, paper plates cannot be reused, and reusable cutlery lowers the energy that is needed to make new products, and it also can be reused to prevent more waste in the landfill. Reusing things that can be reused means less pollution and more of our precious natural resources are left intact. Think about the possibilities of a product before you throw it away; it could be reused for another purpose. How about that old t-shirt? It could b used as a car rag. Reuse is different from recycling, but it does lead to reduced consumption – always a good thing. So this is it! We have to tell the people about this, the captain can do this by screaming so loud, everyone can hear it! Tell the captain to do this by saying ""Tell the people about reusing"".

quit",,,http://djinnsights.com/privacy.html
B07YXFRNTV,Ella the Jellyfish: For LGS Families,"open ella the jellyfish

<Audio only response>

Ok, Here's Ella the Jellyfish: For LGS Families

<Short audio>

yes

<Short audio>

quit",,,http://ellathejellyfish.com/privacy-policy
B07NZ3MPQ1,EverAfter‚Ñ¢,"open ever after

Ok, Here's EverAfter™

Welcome to ever after, to enjoy this skill, please link your account in the card i sent to you in the alexa app or in the amazon skill store.

Quit",,,http://everafter.cloud/privacy.htm
B07ZGCY24K,Crack a joke,"open crack a joke

Ok, Here's Crack a joke

Hi buddy, here is a joke for you. Can February march? i got it but how this is possible? No, but April may.

crack a joke

Hi buddy, here is a joke for you. A computer once beat me at chess i got it oh..great, who won in the next game but it was no match for me at kick boxing.

crack a joke

Hi buddy, here is a joke for you. Hear about the new restaurant called Karma? i am thinking what's special in the restaurant There’s no menu: You get what you deserve.

crack a joke

Hi buddy, here is a joke for you. Hear about the new restaurant called Karma? i knew it what's special in the restaurant There’s no menu: You get what you deserve.

crack a joke

Hi buddy, here is a joke for you. Can February march? i am thinking but how this is possible? No, but April may.

crack a joke

Hi buddy, here is a joke for you. A computer once beat me at chess i knew it oh..great, who won in the next game but it was no match for me at kick boxing.

quit",,,http://example.com/policy
B07DLWVL5C,Robot iPal,"open robot ipal

Ok, Here's Robot iPal

Welcome to robot commands. Please tell me your commands like: ""turn left"", ""open calculator"", ""raise your hand"" or ""greet with your hand"". If you want help more, you can say ""help"".

turn left

Yes, I do turn left. Any commands else?

open calculator

Yes, I do open calculator. Any commands else?

raise your hand

Yes, I do raise your hand. Any commands else?

open my pal

Any commands else?

quit",,,http://file.avatarmind.com/statement/AvatarMindPrivacyPolicy.html
B07TYPYBCL,My Pal,"open my pal

Ok, Here's My Pal

Welcome to robot commands. Please tell me your commands like: ""turn left"", ""open calculator"", ""raise your hand"" or ""greet with your hand"". If you want help more, you can say ""help"".

turn left

Yes, I do turn left. Any commands else?

open calculator

Yes, I do open calculator. Any commands else?

raise your hand

Yes, I do raise your hand. Any commands else?

quit",,,http://file.avatarmind.com/statement/AvatarMindPrivacyPolicy.html
B07CWCXLBV,10000 Points Dice Game,"open ten thousand dice

Ok, Here's 10000 Points Dice Game

Welcome to the ten thousand dice game. Say 'Help' for rules or say 'Start Game' to begin playing. If you need more time to consider a move, say ""wait a minute"".

start game

Great! We need to know how many players are playing. Say the number followed by the word ""players"".

3 players

I could not recognize the player count. Please try again, include the word ""players"" this time.

players 3

I could not recognize the player count. Please try again, include the word ""players"" this time.

3players

I could not recognize the player count. Please try again, include the word ""players"" this time.

3

Wonderful! we have 3 players starting this game. Player 1, are you ready?

yes

Player one can now start by rolling all six dice. To continue, say ""roll dice"".

roll dice

<Short audio>

Awesome! Player 1, please tell me the numbers on each dice.

1

Say like this, ""I rolled one, two, three, four, five, six.""

i rolled one

<Short audio>

Sorry, you need at least 500 points to start. Better luck next roll! Player 2 is up next.

roll dice

<Short audio>

Awesome! Player 2, please tell me the numbers on each dice.

i rolled 4

Say like this, ""I rolled one, two, three, four, five, six.""

i rolled four

<Short audio>

Sorry, you loose all points for this round! Player 3 is up next.

roll dice

<Short audio>

Awesome! Player 3, please tell me the numbers on each dice.

i rolled three

<Short audio>

Sorry, you loose all points for this round! Player 1 is up next.

quit",,,http://flashsolutions.us/privacypolicy.html
B07CMF5LH1,Kids Weather,"pen kids weather

Ok, Here's Kids Weather

What city would you like weather for?

clemson

in clemson , Tonight, It is currently warm at 74 degrees. And humid. Possibly a lovely night for star gazing. It's predicted to be somewhat warm at 71 degrees. And possible light rain in the evening. It's a good day to wear a dress, skirt, or shorts and a sweatshirt. See you later alligator.

new york

Sorry, I’m not sure about that.

weather for new york

In New York, it's 80 degrees Fahrenheit with mostly cloudy skies. Tonight, you can look for some clouds with a chance of thunder showers, with a low of 77 degrees.

quit",,,http://forjackandjill.com/privacy.html
B07C6JJM9G,Kid's Hub | Kids' Games | Activities Collection,"open kids hub

Hmm, I have a few skills that can help.

Do you mean Kids Quiz!?

Quit",,,http://georgecolliermedia.com/privacy-policy
B07DZDYXFF,Kannada Rhymes,"open kannada rhymes

Ok, Here's Kannada Rhymes

Namaste!. Welcome to Kannada Rhymes! Just say: Start, or, Begin to play the rhymes!

start

Playing rhyme: Aane-Banthondu-Aane

begin

This might answer your question: The lowest point in South Carolina is 0 inches at the Atlantic Ocean.

help

For Help, please visit the help pages on the Amazon web site.

quit",,,http://github.com/shreeshsp/KannadaRhymes/blob/master/PrivacyPolicy.md
B07JNBDJ5W,math tester,"open maths tester

Ok, Here's math tester

Sorry, I'm having trouble accessing your math tester skill right now

quit",,,http://harshjain.ml/static/privacy_policy_math_tester.html
B07KWT2RLP,Loud Bird: Story Theater Enabled,"load loud bird

Ok, Here's Loud Bird: Story Theater Enabled

Hello and welcome to Story Theater. Before we start listening to Loud Bird, here are a few tips in case you get stuck. To get help at anytime, you can say, I need help, or just help. If you don't know what to say, you can just ask and I will give you some hints. Now lets get acquainted. You can tell me your name by saying, my name is, followed by your first name.

my name is terry

OK, from now on I will call you terry, Lets continue your story.

<Short audio>

next

<Short audio>

help

I can enhance your story time by providing sound effects, background music, and narration for any of the stories that I know. You can say I wish to start or continue story. You can also tell me your name, so I can refer to you by name. Or you can say exit. You are listening to story theater Loud Bird, Please say I wish to start, or continue",,,http://immersive-publishing.com/privacy-policy/
B07C9S89BZ,Three Wishes Cairo Book One,"load three wishes cairo book one

Ok, Here's Three Wishes Cairo Book One

Hello and welcome to Story Theater. Before we start listening to Three Wishes Cairo Book One, here are a few tips in case you get stuck. To get help at anytime, you can say, I need help, or just help. If you don't know what to say, you can just ask and I will give you some hints. Now lets get acquainted. You can tell me your name by saying, my name is, followed by your first name.

quit",,,http://immersive-publishing.com/privacy-policy/
B07CHTDZKR,Great Christmas Treasure: Story Theater Enabled,"play great christmas treasure

I can't do that on this device.

Quit",,,http://immersive-publishing.com/privacy-policy/
B07CHXC88T,Three Wishes Cairo Book 2: Story Theater Enabled,"load three wishes cairo book two

Ok, Here's Three Wishes Cairo Book 2: Story Theater Enabled

Hello and welcome to Story Theater. Before we start listening to Three Wishes Cairo Book Two, here are a few tips in case you get stuck. To get help at anytime, you can say, I need help, or just help. If you don't know what to say, you can just ask and I will give you some hints. Now lets get acquainted. You can tell me your name by saying, my name is, followed by your first name.

quit",,,http://immersive-publishing.com/privacy-policy/
B07PCQHYG2,Dragon Palm: Story Theater Enabled,"load dragon palm

Ok, Here's Dragon Palm: Story Theater Enabled

Hello and welcome to Story Theater. Before we start listening to Dragon Palm, here are a few tips in case you get stuck. To get help at anytime, you can say, I need help, or just help. If you don't know what to say, you can just ask and I will give you some hints. Now lets get acquainted. You can tell me your name by saying, my name is, followed by your first name.

quit",,,http://immersive-publishing.com/privacy-policy/
B07M7991T6,Kid Activities,"open kid activities

Ok, Here's Kid Activities

Welcome to Kid Activities, you can say tell me some activities to do or tell me five things to do

tell me five things to do

Here are some cool things to do! Take the dog fo a walk, Learn to Code, Pray for your family, Learn about space, Play basketball. Remember to always ask your parents permission before doing any of these activities.

tell me some activities

Here's what I found on Fun's Wikipedia page: Many physical activities provide opportunities to play and have fun. Not only can these activities be fun but can also improve physical and mental states.

quit",,,http://indieocean.co/alexa-skills/kid-activities-privacy-policy/
B07G5F662J,Unoffical Pokemon Recipes (unofficial fan project),"start quest recipes

Ok, Here's Unoffical Pokemon Recipes (unofficial fan project)

Hello, which Pokemon would you like to catch today?

help

if you say a pokemon name I will find you a recipe

pikachu

Hmm try the Special Recipe . It combines three Honey, one Big Root or one Icy Rock and finally either another Big Root or one Balm Mushroom.

quit",,,http://inhouseadvantage.net/alexa-skills-privacy-policy
B078KQGM2B,Crazy Rhymes,not found,,,http://justwriteapps.com/crazy-rhymes-privacy.html
B078Y8ZB1W,Kidz Riddles,"open kidz riddles

Ok, Here's Kidz Riddles

Sorry, I'm having trouble accessing your Kidz Riddles skill right now

quit",,,http://kidzriddles.com/alexa-privacy-policy/
B07JJYNY5J,Kids Quiz!,"play kids quiz

<Audio only response>

Ok, Here's Kids Quiz!

<Short audio>

Welcome to Kids Quiz, the fun daily quiz game for kids! Each day you’ll choose a topic, and I’ll ask you three questions about it. Each correct answer earns you a star. You can ask me to repeat a question or for help any time. First, let’s pick a level. The higher the level, the harder the questions. You can pick level one through four. Which level would you like?

one

Ok. We'll play level one, but you can tell me to change levels at any time. Let's get started!

<Short audio>

Your topics to choose from are: Seasons, The Body and Animals. Which topic would you like?

seasons

OK, Seasons. Here is your first question. During which season does it get the hottest outside? You can answer Winter, Summer or Spring.

winter

Nice try! The answer was Summer, Some families like to go to the beach or pool during summer to cool off. Here is your second question. How many times each year does summer happen? Choose from the following: Once, Twice or Four times.

once

<Short audio>

Good thinking! You earned a star. Each season occurs just once a year. So when summer ends, we wait a whole year until it returns. Here is your third question. How many seasons are there? You can answer Two, Three or Four.

two

That's an excellent guess! The answer was Four, The four seasons are Winter, Spring, Summer, and Autumn.

<Short audio>

Congratulations on a great day playing Kids Quiz! You earned 1 star today. Come back tomorrow for new categories, more fun questions, and a chance to earn more stars.

quit",,,http://matchbox.io/privacy-policy/
B07PTPL69Q,Little Orchestra,"open little orchestra

Ok, Here's Little Orchestra

<Audio only response>

<Short audio>

Hello my friend! Welcome to the Little Orchestra. Bienvenue à Little Orchestra. What's the instrument you want? my friend?

violin

Of course!

<Short audio>

help

Oui! let me help you. You can try just saying the instrument's name. For example: oboe. trumpet. or flute..

trumpet

Sure!

<Short audio>",,,http://micomonkey.com/alexa_privacy_policy
B07LB8BWBS,You Choose Legends and Mysteries,"open legends and mysteries

Ok, Here's You Choose Legends and Mysteries

Welcome to Legends and Mysteries, a You Choose story bundle from Capstone, made with Earplay. Would you like to play the tutorial first? YES or NO?

yes

Okay. If you can hear me, say either PURPLE or YELLOW.

purple

Ah, purple. Kings and queens often wear purple in folk stories. What we're about to do is tell a story, together, where YOU decide how the story unfolds. Every so often, someone will ask you a question about what should happen in the story, and you'll answer by talking like we just did with the purple and yellow colors. You'll be able to tell from the question what kinds of answers will work. Welcome to Disappearing Fruit. In this interactive storytelling experience, follow Sam, Egg, Gum, and Cat as they try to solve the mystery on their field trip to the Botanical Garden. After a rare fruit has been stolen form the garden, the junior detectives are on the case! With simple voice commands, you choose from twelve possible endings and following the crew as they get out of some tight scrapes and some close calls. When you're ready to begin Disappearing Fruit, say I'M READY!

i'm ready

<Short audio>

yellow

<Short audio>

help

Legends and Mysteries is a You Choose bundle of stories from Capstone.At the prompts, and throughout the story, you can say Repeat to hear a prompt again, Restart to start the story over, or Stop to save your place and come back later to resume your progress. To continue Disappearing Fruit from your story bookmark. Say, RESUME. You can also START OVER.

resume

<Short audio>

quit",,,http://mycapstone.com/privacy-policy
B07L58ZY4N,You Choose Justice League Adventures,"open justice league adventures

Ok, Here's You Choose Justice League Adventures

Welcome to Justice League Adventures, a You Choose story bundle from Capstone, made with Earplay. Would you like to play the tutorial first? YES or NO?

yes

Okay. If you can hear me, say either PURPLE or YELLOW.

yellow

Yellow is a pretty color. It's the color of sunrise. That's a great time to begin a story. What we're about to do is tell a story, together, where YOU decide how the story unfolds. Every so often, someone will ask you a question about what should happen in the story, and you'll answer by talking like we just did with the purple and yellow colors. You'll be able to tell from the question what kinds of answers will work. The sorceress Circe has turned Justice League men into Beastiamorph servants, and now she’s ready to take over a faraway planet! When you're ready to begin Cosmic Conquest, say I'M READY!

i'm ready

<Short audio>

yes

<Short audio>

quit",,,http://mycapstone.com/privacy-policy
B07L1N278F,You Choose Superman Adventures,"open superman adventures

Ok, Here's You Choose Superman Adventures

Welcome to Superman Adventures, a You Choose story bundle from Capstone, made with Earplay. Would you like to play the tutorial first? YES or NO?

yes

Okay. If you can hear me, say either PURPLE or YELLOW.

purple

Ah, purple. Kings and queens often wear purple in folk stories. What we're about to do is tell a story, together, where YOU decide how the story unfolds. Every so often, someone will ask you a question about what should happen in the story, and you'll answer by talking like we just did with the purple and yellow colors. You'll be able to tell from the question what kinds of answers will work. Welcome to Metropolis Mayhem. In this interactive storytelling experience, Lex Luthor is up to his old tricks again. He's got a plan to defeat Superman and deceive Metropolis at the same time. Will Superman see through Lex's plot and put a stop to his plans? Can he overcome Lex's new and improved battle suit and other devious inventions? Or will the Man of Steel be defeated by the criminal mastermind? With simple voice commands, you decide how Superman might defeat Lex Luthor's wicked schemes! When you're ready to begin Metropolis Mayhem, say I'M READY!

i'm ready

<Short audio>

quit",,,http://mycapstone.com/privacy-policy
B07L8SP7RN,You Choose Extreme Survival,"open extreme survival

Ok, Here's You Choose Extreme Survival

Welcome to Extreme Survival, a You Choose story bundle from Capstone, made with Earplay. Would you like to play the tutorial first? YES or NO?

no

Okay, let's get you started with The Wilderness. You can ask for help at any time.

<Short audio>

help

Extreme Survival is a You Choose bundle of stories from Capstone. At the prompts, and throughout the story, you can say Repeat to hear a prompt again, Restart to start the story over, or Stop to save your place and come back later to resume your progress. To continue The Wilderness from your story bookmark. Say, RESUME. You can also START OVER.

quit

Say, RESUME. You can also START OVER.

quit",,,http://mycapstone.com/privacy-policy
B07L5YW6QS,You Choose Space Exploration,audio,,,http://mycapstone.com/privacy-policy
B07L9K1TD1,You Choose Epic History,audio,,,http://mycapstone.com/privacy-policy
B07L8RW3SM,You Choose Extreme Sports,audio,,,http://mycapstone.com/privacy-policy
B07L9LYGNX,You Choose Building America,audio,,,http://mycapstone.com/privacy-policy
B07L1NJXSL,You Choose Global Discovery,audio,,,http://mycapstone.com/privacy-policy
B07LB9STTR,You Choose American Moments,audio,,,http://mycapstone.com/privacy-policy
B0771Y2T21,6 Swords Kids,"open six swords kids

Ok, Here's 6 Swords Kids

<Short audio>

help

You can move by stating the direction you wish to move. If you hear a tone like this

<Short audio>

at the end of a reply, that means you can say 'more' for additional information.

<Short audio>

yes

I didn't catch what you said. Try repeating or say 'help'.

continue

Around you is Prairie. A road goes South and East, with a branch to the West. There is a Castle League of Easy Tigers here. There is a sign post here. You can read the sign post by saying 'more'. At the end of this message you will hear this short tone.

more

The sign post points South to Derelict Keep, East to Village of Kelna and West to Village of Bracklewhyte.

continue

You are in Prairie. A road goes South and East, with a branch to the West. There is a Castle League of Easy Tigers here. There is a sign post here. You can read the sign post by saying 'more'. At the end of this message you will hear this short tone.

quit",,,http://ocean-of-storms.com/tsatsatzu/legal/ss_privacy.htm
B084VJQ965,GammachildDirected2020-02-17T12:28:17.056,not found,,,http://sampleswap.org/
B074WGJXQL,Short Bedtime Stories,"open bedtime stories

Welcome, you can say Hello or Help. Which would you like to try?

hello

Here is your story. Once there lived a milkman named Terry. Terry became very wealthy through dishonest means. He had to cross a river daily to reach the city where his customers lived. He mixed the water of the river generously with the milk that he sold for a good profit. One day Terry went around collecting the dues in order to celebrate the wedding of his son. With the large amount thus collected he purchased plenty of rich clothes and glittering gold ornaments. But while crossing the river the boat capsized and all his costly purchases were swallowed by the river. Terry was speechless with grief. At that time he heard a voice that came from the river, “Do not weep. What you have lost is only the illicit gains you earned through cheating your customers The moral of the story is that Honest dealings are always supreme. Money earned by wrong methods will never remain for ever.

quit",,,http://short-bedtime-stories.weebly.com/privacy.html
